r (cm),u (cm/s),cs (cm/s),rho (g/cc),T (keV),P (GBar),Ion MFP (cm),tau_ii (s),LogL,Debye Length (cm),Smoothed ni (1/cc),Smoothed Ti (keV)
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.011,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.012,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.014,65046744.082,49133598.3355,0.0119713959814,6.25511264829,0.0722506814084,0.00044754396293907706,1.16622403223e-10,9.571470581440348,0.0,2.88373785329e+21,6.25511264829
0.015,60597085.0496,46889820.3661,0.0134079233632,5.69685454395,0.073698502868,0.0004228899282002533,9.24024740631e-11,9.374763634001248,0.0,3.22977672751e+21,5.69685454395
0.016,59637022.9746,45101323.8743,0.0138605811453,5.27055771074,0.0704855395488,0.0004159272565347059,8.0687702674e-11,9.241635132963125,0.0,3.33881550483e+21,5.27055771074
0.017,56416717.5867,43615711.4362,0.0148290408592,4.92905784273,0.0705243337761,0.0004021162005623163,6.92128271271e-11,9.107495594371246,0.0,3.57210358091e+21,4.92905784273
0.018,53718234.5435,42345827.2081,0.0156517881498,4.64621427761,0.0701657564682,0.000391404776115335,6.07832474779e-11,8.991947051376567,0.0,3.77029162091e+21,4.64621427761
0.019,51399660.135,41223308.7827,0.0163570440136,4.40315210058,0.0694913143266,0.00038287383661867814,5.42776948989e-11,8.889392099473916,0.0,3.94017765875e+21,4.40315210058
0.02,49376537.6002,40212221.2061,0.0169681384559,4.18980797245,0.068594664106,0.00037591616519480695,4.90787720257e-11,8.796624219384176,0.0,4.08738155861e+21,4.18980797245
0.021,47589967.0355,39290003.4598,0.0175025567611,3.9998354674,0.0675469334776,0.00037013261365310913,4.48143959034e-11,8.711579377677603,0.0,4.2161152751e+21,3.9998354674
0.022,45996703.9689,38441205.3657,0.0179736275489,3.82888204079,0.0664002539893,0.0003652500065144397,4.12450194112e-11,8.632835768108462,0.0,4.32958948183e+21,3.82888204079
0.023,44563993.5571,37654593.3057,0.0183917152899,3.67378651369,0.0651925796912,0.00036107463731589794,3.82084895704e-11,8.559364418787151,0.0,4.43030083133e+21,3.67378651369
0.024,43266420.1906,36921629.5617,0.0187650241606,3.53215468285,0.063951518037,0.00035746500959638267,3.55906132192e-11,8.490391598438308,0.0,4.52022559222e+21,3.53215468285
0.025,42083921.0795,36235602.5393,0.0191001408055,3.40211482641,0.0626971142642,0.0003543152269924813,3.33083675574e-11,8.425317638137336,0.0,4.60095039288e+21,3.40211482641
0.026,41000362.107,35591095.7937,0.0194024264567,3.28216728138,0.0614438999802,0.0003515443143704461,3.12997660698e-11,8.363665959058943,0.0,4.67376667731e+21,3.28216728138
0.027,40002614.48,34983646.2939,0.0196762898,3.17108687205,0.0602023391229,0.0003490892668491848,2.95174947193e-11,8.305050044984492,0.0,4.73973643482e+21,3.17108687205
0.028,39079861.3249,34409514.5745,0.0199253920003,3.06785680621,0.0589798922429,0.00034690029106202905,2.79247472136e-11,8.249150963793925,0.0,4.79974158754e+21,3.06785680621
0.029,38223131.7695,33865524.2974,0.0201527958171,2.97162224144,0.0577817805711,0.0003449375298198771,2.64924240329e-11,8.195701771540078,0.0,4.85451991045e+21,2.97162224144
0.03,37424841.3397,33348946.6662,0.0203610911044,2.8816566635,0.0566115828922,0.0003431686275026235,2.51971780992e-11,8.144476021187204,0.0,4.90469526223e+21,2.8816566635
0.031,36678612.6521,32857414.8726,0.0205524736335,2.79733690993,0.0554716253566,0.0003415671149499751,2.40200524153e-11,8.095279761686482,0.0,4.95079657275e+21,2.79733690993
0.032,35978973.6928,32388859.2856,0.0207288239516,2.71812420744,0.0543633207174,0.0003401110716501704,2.29454736647e-11,8.047945115921168,0.0,4.99327683892e+21,2.71812420744
0.033,35321238.699,31941457.36,0.0208917577319,2.64354950468,0.0532873894121,0.000338782220995769,2.19605249667e-11,8.00232566667724,0.0,5.03252525328e+21,2.64354950468
0.034,34701341.2551,31513594.2458,0.0210426731678,2.57320194406,0.0522440451839,0.00033756518297276683,2.10543935739e-11,7.958292702077257,0.0,5.06887862056e+21,2.57320194406
0.035,34115752.7979,31103831.3405,0.0211827842401,2.50671967377,0.05123312278,0.0003364469378816731,2.02179564993e-11,7.915732377043416,0.0,5.10262937139e+21,2.50671967377
0.036,33561394.0186,30710880.8501,0.0213131499741,2.44378243584,0.0502541805529,0.0003354163903288246,1.9443459321e-11,7.874543395886574,0.0,5.13403260979e+21,2.44378243584
0.037,33035555.4298,30333584.9702,0.0214346989152,2.38410552232,0.0493065796452,0.00033446402171329374,1.87242657462e-11,7.834635130371439,0.0,5.16331200904e+21,2.38410552232
0.038,32535838.6169,29970898.6734,0.0215482486558,2.32743480063,0.0483895427045,0.0003335816189720897,1.80546611644e-11,7.795926100722611,0.0,5.19066451543e+21,2.32743480063
0.039,32060132.1008,29621875.3481,0.0216545201415,2.27354258398,0.0475021944482,0.00033276207148638496,1.74296979484e-11,7.758342769005069,0.0,5.21626379445e+21,2.27354258398
0.04,31606537.1759,29285654.719,0.0217541538424,2.22222417742,0.0466436018478,0.0003319991743010052,1.68450680553e-11,7.721818438986128,0.0,5.24026412619e+21,2.22222417742
0.041,31173373.961,28961452.6118,0.0218477180163,2.17329496915,0.0458127932803,0.00033128750827267074,1.62970040687e-11,7.686292458317227,0.0,5.26280239578e+21,2.17329496915
0.042,30759131.9709,28648552.2243,0.0219357198876,2.12658796568,0.0450087818746,0.00033062230969260596,1.57821953384e-11,7.651709448425476,0.0,5.28400078633e+21,2.12658796568
